Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha	speciation_beta
22	-58006.31	-58020.85	14.54547	0.00622621	0.00622621	0.00622621	0.00622621	0.00484192	0.00484192	0.00484192	0.00484192	-5.078987	-0.2514573	0.004321658	0.1780209	0.00911825	0.01021756	0.009531463	0.02144074	0.0009971208	0.01095963	0.06584554	0.01778669	0.0505593	0.417369	0.0195859	0.0619004	0.114014	0.232981	0.0406579	0.0629329	0.0790226	0.0790226	0.0790226	0.0790226	0.249746	0.249746	0.249746	0.249746	-2.538021	1.15071
23	-58180.55	-58196.96	16.41762	0.0089542	0.0089542	0.0089542	0.0089542	0.00896878	0.00896878	0.00896878	0.00896878	-4.715633	0.001627476	0.0004594248	0.1854778	0.00911825	0.001711026	0.00256334	0.01957732	0.0001168521	0.105328	0.1091159	0.01778669	0.0373433	0.503168	0.0144663	0.0457199	0.0842111	0.172081	0.0965284	0.0464825	0.0790226	0.0790226	0.0790226	0.0790226	0.249746	0.249746	0.249746	0.249746	-2.538021	1.15071
24	-58100.81	-58119.72	18.90499	0.0089542	0.0089542	0.0089542	0.0089542	0.0284608	0.0284608	0.0284608	0.0284608	-4.715633	1.156407	0.0001556284	0.1378506	0.01979666	0.001711026	0.003854724	0.01018114	6.403155e-05	0.005411117	0.02148715	0.004906843	0.0359091	0.483843	0.0139107	0.043964	0.0809769	0.165472	0.102979	0.0729453	0.085577	0.085577	0.085577	0.085577	0.292168	0.292168	0.292168	0.292168	-2.458339	1.227913
25	-58134.29	-58151.17	16.88276	0.0148015	0.0148015	0.0148015	0.0148015	0.0116457	0.0116457	0.0116457	0.0116457	-4.213029	-0.2397882	0.001586619	0.1497543	0.01979666	0.01029985	0.00627146	0.0238006	6.403155e-05	0.03914467	0.02070355	0.02873597	0.0302559	0.407672	0.0117207	0.0370427	0.0682287	0.139422	0.0867671	0.218892	0.085577	0.085577	0.085577	0.085577	0.272463	0.272463	0.272463	0.272463	-2.458339	1.158088
26	-58063.12	-58082.33	19.20937	0.0312405	0.0312405	0.0312405	0.0312405	0.0245799	0.0245799	0.0245799	0.0245799	-3.46604	-0.2397882	0.0004362412	0.1335325	0.01282228	0.004038511	0.00627146	0.01656461	3.051171e-06	0.03914467	0.02809938	0.08607324	0.0309377	0.416859	0.0119848	0.0153424	0.0697662	0.142563	0.0887224	0.223824	0.0697566	0.0697566	0.0697566	0.0697566	0.251078	0.251078	0.251078	0.251078	-2.662743	1.280752
27	-57982.56	-58001.53	18.96448	0.0269476	0.0269476	0.0269476	0.0269476	0.0292616	0.0292616	0.0292616	0.0292616	-3.613862	0.08238323	0.005786072	0.2253509	0.01282228	0.004038511	0.02067128	0.02186988	7.926844e-07	0.03914467	0.09063181	0.01710304	0.033604	0.452785	0.0130177	0.0166647	0.0757789	0.11686	0.0481758	0.243114	0.0697566	0.0697566	0.0697566	0.0697566	0.30351	0.30351	0.30351	0.30351	-2.662743	1.470404
28	-58099.64	-58117.44	17.79331	0.0128635	0.0128635	0.0128635	0.0128635	0.0139681	0.0139681	0.0139681	0.0139681	-4.353364	0.08238323	0.02321269	0.1425528	0.01282228	0.008311457	0.02470818	0.007989115	7.926844e-07	0.03914467	0.09063181	0.06113486	0.0584782	0.0477291	0.0226536	0.0290001	0.131871	0.203361	0.0838361	0.42307	0.0634678	0.0634678	0.0634678	0.0634678	0.203206	0.203206	0.203206	0.203206	-2.757223	1.163688
29	-58081.86	-58102.15	20.28328	0.0868602	0.0868602	0.0868602	0.0868602	0.0632327	0.0632327	0.0632327	0.0632327	-2.443455	-0.317478	0.006901219	0.1416069	0.01282228	0.0107517	0.02470818	0.01306266	1.534058e-07	0.03914467	0.07773293	0.02197285	0.0584782	0.0477291	0.0226536	0.0290001	0.131871	0.203361	0.0838361	0.42307	0.0740952	0.0740952	0.0740952	0.0740952	0.262341	0.262341	0.262341	0.262341	-2.602405	1.264293
30	-57991.48	-58013.68	22.20093	0.0868602	0.0868602	0.0868602	0.0868602	0.0427175	0.0427175	0.0427175	0.0427175	-2.443455	-0.7096918	0.003819046	0.221436	0.01282228	0.002803829	0.02470818	0.008262334	5.461225e-07	0.03914467	0.05233753	0.0008963964	0.0526048	0.0429353	0.0203783	0.0260874	0.118627	0.182936	0.0714284	0.485003	0.0886972	0.0886972	0.0886972	0.0886972	0.299544	0.299544	0.299544	0.299544	-2.422527	1.217033
31	-58187.02	-58210.53	23.5031	0.0868602	0.0868602	0.0868602	0.0868602	0.220471	0.220471	0.220471	0.220471	-2.443455	0.931466	0.008463037	0.221436	0.01282228	0.002803829	0.005832569	0.006423634	3.471538e-06	0.03340194	0.04130884	5.808415e-05	0.04531	0.117926	0.0175524	0.0224698	0.102176	0.215296	0.0615233	0.417747	0.118458	0.118458	0.118458	0.118458	0.412503	0.412503	0.412503	0.412503	-2.133199	1.247688
32	-58264.39	-58288.77	24.38284	0.0723783	0.0723783	0.0723783	0.0723783	0.183712	0.183712	0.183712	0.183712	-2.625849	0.931466	0.007744882	0.2570623	0.01282228	0.0007583319	0.005832569	0.01491246	3.471538e-06	0.003738767	0.04130884	0.0001226855	0.0361689	0.0941348	0.0140113	0.0179366	0.0815627	0.171861	0.166451	0.417874	0.140619	0.140619	0.140619	0.140619	0.489675	0.489675	0.489675	0.489675	-1.9617	1.247688
