Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_alpha[4]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_alpha[4]	speciation_beta[1]	speciation_beta[2]
20	-57758.24	-57760.82	2.580259	0.00955025	0.0154655	0.0244729	0.0454151	0.00291946	0.00472772	0.00748125	0.0138832	-4.65119	-4.16914	-3.71019	-3.09191	-1.18517	-0.287065	0.004499388	0.1348571	0.007067387	0.00595898	0.0227199	0.01252014	0.02145991	0.01327378	0.05703852	0.000869327	0.0147299	0.0599723	0.0727255	0.183409	0.10928	0.273335	0.202773	0.0837755	0.069796	0.073912	0.0642662	0.0563432	0.25461	0.269624	0.234437	0.205535	-2.66218	-2.60488	-2.74472	-2.87629	1.29416	2.32356
21	-57756.87	-57757.67	0.797433	0.00955025	0.00574893	0.0315308	0.0427292	0.00615551	0.00370542	0.0203228	0.0275407	-4.65119	-5.15874	-3.45679	-3.15287	-0.439219	1.41474	0.003074368	0.1297418	0.008314144	0.00595898	0.0227199	0.01252014	0.02145991	0.01327378	0.03666717	0.001068282	0.0155284	0.0632233	0.0766679	0.193352	0.115204	0.288152	0.159556	0.0883169	0.0633898	0.0734679	0.0702408	0.0563432	0.23124	0.268005	0.256232	0.205535	-2.75845	-2.61091	-2.65583	-2.87629	1.29416	2.32356
22	-57768.44	-57770.41	1.970467	0.00724354	0.00866362	0.0434182	0.0655757	0.00291098	0.00348168	0.0174486	0.0263531	-4.92765	-4.74862	-3.13688	-2.72455	-0.911618	0.962007	0.003463553	0.1072553	0.01130447	0.004536769	0.0227199	0.008640406	0.02145991	0.01327378	0.03666717	0.001068282	0.00158053	0.0667586	0.080955	0.163061	0.121646	0.304265	0.168478	0.0932554	0.0592382	0.0694238	0.0702408	0.0684469	0.211192	0.247505	0.250418	0.244022	-2.82619	-2.66753	-2.65583	-2.6817	1.2712	2.32356
23	-57762.73	-57764.66	1.930552	0.00724354	0.00866362	0.0376571	0.146204	0.00222413	0.00266017	0.0115627	0.0448919	-4.92765	-4.74862	-3.27923	-1.92275	-1.18074	0.71879	0.00318486	0.1236011	0.007786527	0.005868727	0.02841893	0.0109182	0.02145991	0.01399331	0.03398757	0.0006290933	0.00116312	0.273124	0.0595754	0.0805353	0.16908	0.223911	0.123984	0.0686274	0.0698659	0.0694238	0.0702408	0.0684469	0.252293	0.250697	0.253647	0.247169	-2.66118	-2.66753	-2.65583	-2.6817	1.28401	2.32356
24	-57763.8	-57767.61	3.807839	0.00506049	0.0167138	0.0332934	0.0586382	0.00592327	0.0195634	0.0389696	0.0686356	-5.28629	-4.09152	-3.4024	-2.83637	0.157425	0.389038	0.003207957	0.1286369	0.008978486	0.005868727	0.02841893	0.006409838	0.0343175	0.01381484	0.06516762	4.612295e-05	0.00116312	0.273124	0.0595754	0.0805353	0.16908	0.223911	0.123984	0.0686274	0.0651709	0.0750466	0.0702408	0.0613384	0.235339	0.271002	0.253647	0.2215	-2.73074	-2.58965	-2.65583	-2.79135	1.28401	2.32356
25	-57779.26	-57783.12	3.851663	0.0280564	0.0167138	0.0267067	0.0207277	0.0277898	0.016555	0.026453	0.0205308	-3.57354	-4.09152	-3.62284	-3.87628	-0.00954798	0.389038	0.002845427	0.1286369	0.009961327	0.004686698	0.02841893	0.00787821	0.0343175	0.009858069	0.03724635	0.01654377	0.00136235	0.319907	0.0697802	0.0943302	0.063047	0.262265	0.108926	0.0803827	0.07191	0.0750466	0.0702408	0.0613384	0.259675	0.271002	0.253647	0.2215	-2.63234	-2.58965	-2.65583	-2.79135	1.28401	1.44609
26	-57799.63	-57804.18	4.551439	0.0323395	0.0167138	0.0144182	0.0543559	0.0320321	0.016555	0.0142812	0.0538394	-3.43147	-4.09152	-4.23927	-2.9122	-0.00954798	0.106769	0.002845427	0.1718593	0.009961327	0.002430226	0.02841893	0.006915722	0.0343175	0.009858069	0.03257997	0.01552924	0.00121514	0.285338	0.0622398	0.084137	0.0562342	0.407333	0.031806	0.0716966	0.07191	0.0794081	0.0702408	0.088342	0.259675	0.286751	0.253647	0.319012	-2.63234	-2.53316	-2.65583	-2.42654	1.28401	1.51644
27	-57776.93	-57780.72	3.785492	0.0125868	0.0167138	0.0144182	0.0479608	0.0124672	0.016555	0.0142812	0.047505	-4.37511	-4.09152	-4.23927	-3.03737	-0.00954798	-1.18194	0.004601221	0.156186	0.008336633	0.002774727	0.02339234	0.005327827	0.0343175	0.01040401	0.03257997	0.00363941	0.00497431	0.284264	0.0620055	0.0838203	0.0560225	0.4058	0.0316863	0.0714267	0.07191	0.0799184	0.0771843	0.088342	0.242197	0.269169	0.259961	0.29754	-2.63234	-2.52675	-2.56156	-2.42654	1.21433	1.51644
28	-57781.33	-57782.12	0.7905643	0.00685818	0.0167138	0.00349115	0.0449987	0.00679301	0.016555	0.00345798	0.0445711	-4.98231	-4.09152	-5.65752	-3.10112	-0.00954798	-2.05142	0.004816304	0.161866	0.008336633	0.002887804	0.02339234	0.005346854	0.0180091	0.0223319	0.06611383	0.0003195484	0.00415905	0.237675	0.0518431	0.0700826	0.0468407	0.503186	0.0264931	0.0597203	0.0788214	0.0799184	0.0823572	0.088342	0.27369	0.277499	0.285967	0.306748	-2.54057	-2.52675	-2.49669	-2.42654	1.24481	0.0713327
29	-57771.88	-57771.36	-0.5197315	0.0055733	0.00905947	0.00787084	0.0490772	0.00552034	0.00897339	0.00779605	0.0486108	-5.18977	-4.70394	-4.84459	-3.01436	-0.00954798	-2.05142	0.004891863	0.1719532	0.007972744	0.00540659	0.02190121	0.01033708	0.0180091	0.0243822	0.05118307	0.0003195484	0.000506993	0.238547	0.0520333	0.0703396	0.0470125	0.505032	0.0265903	0.0599393	0.0714385	0.0799184	0.0823572	0.088342	0.248054	0.277499	0.285967	0.306748	-2.63892	-2.52675	-2.49669	-2.42654	1.24481	1.29061
