Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha	extinction_beta	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha	speciation_beta
44	-56463.29	-56460.75	-2.534549	0.0083652	0.0083652	0.0118584	0.0118584	-4.783675	0.3489562	0.004050511	0.2163549	0.01503526	0.03022552	0.0132721	0.283638	0.236653	0.466437	0.0717295	0.0717295	0.284696	0.284696	-2.634853	1.37852
45	-56479.13	-56474.83	-4.302578	0.0181366	0.0181366	0.00135117	0.00135117	-4.009824	-2.596959	0.0300875	0.3014417	0.01000512	0.01805185	0.0211114	0.451171	0.376434	0.151283	0.0745077	0.0745077	0.295723	0.295723	-2.596853	1.37852
46	-56469.93	-56465.41	-4.523791	0.0378056	0.0378056	0.00212527	0.00212527	-3.275299	-2.878556	0.02558431	0.2828038	0.009920572	0.02570998	0.0859178	0.495837	0.262188	0.156057	0.0745077	0.0745077	0.295723	0.295723	-2.596853	1.37852
47	-56426.77	-56424.1	-2.669112	0.0114211	0.0114211	0.00281266	0.00281266	-4.472289	-1.401336	0.008821674	0.2453512	0.009920572	0.02654388	0.0859178	0.495837	0.262188	0.156057	0.0778758	0.0778758	0.309091	0.309091	-2.55264	1.37852
48	-56422.9	-56422.49	-0.4064595	0.0545249	0.0545249	0.0151127	0.0151127	-2.909097	-1.283121	0.008821674	0.1857455	0.006357302	0.01924945	0.114107	0.605763	0.0983104	0.18182	0.0778758	0.0778758	0.281983	0.281983	-2.55264	1.286733
49	-56424.78	-56424.34	-0.4357327	0.0492115	0.0492115	0.01364	0.01364	-3.011627	-1.283121	0.01044337	0.1857455	0.006357302	0.01851016	0.19515	0.320965	0.0423039	0.441581	0.0778758	0.0778758	0.281983	0.281983	-2.55264	1.286733
50	-56393.85	-56391.43	-2.417477	0.00809854	0.00809854	0.00241499	0.00241499	-4.816071	-1.209987	0.01044337	0.1536334	0.005906292	0.01851016	0.311952	0.277159	0.0295749	0.381314	0.0669215	0.0669215	0.246457	0.246457	-2.704235	1.303666
51	-56408.29	-56405.66	-2.629806	0.00675783	0.00675783	0.0019975	0.0019975	-4.997053	-1.218803	0.008193674	0.162944	0.005906292	0.01851016	0.292542	0.284978	0.0304092	0.39207	0.0726374	0.0726374	0.236165	0.236165	-2.622275	1.179051
52	-56397.53	-56396.56	-0.9673844	0.0207081	0.0207081	0.00612098	0.00612098	-3.877229	-1.218803	0.004611584	0.1513559	0.005906292	0.01851016	0.387809	0.21373	0.218161	0.1803	0.0763103	0.0763103	0.270122	0.270122	-2.572947	1.264065
53	-56464.53	-56463.4	-1.135703	0.0207081	0.0207081	0.00612098	0.00612098	-3.877229	-1.218803	0.0141056	0.2220402	0.005906292	0.02068168	0.351606	0.226369	0.231063	0.190962	0.0669964	0.0669964	0.237152	0.237152	-2.703117	1.264065
54	-56397.42	-56397.03	-0.3880774	0.0324298	0.0324298	0.0118655	0.0118655	-3.428677	-1.005442	0.004509945	0.1802966	0.005906292	0.02068168	0.272029	0.383453	0.133037	0.211481	0.0738714	0.0738714	0.261488	0.261488	-2.60543	1.264065
55	-56394.69	-56393.4	-1.293917	0.0324298	0.0324298	0.0069254	0.0069254	-3.428677	-1.543883	0.004649946	0.1802966	0.009100051	0.02068168	0.00554217	0.227308	0.260836	0.506313	0.0738555	0.0738555	0.261432	0.261432	-2.605645	1.264065
56	-56410.4	-56408.03	-2.367127	0.00913249	0.00913249	0.00265352	0.00265352	-4.695917	-1.235951	0.001237583	0.1802966	0.009100051	0.02068168	0.00273919	0.112346	0.634672	0.250243	0.0809359	0.0809359	0.263466	0.263466	-2.514098	1.180267
57	-56423.02	-56421.86	-1.155502	0.0161512	0.0161512	0.00663605	0.00663605	-4.125758	-0.8894801	0.01627968	0.1654691	0.009100051	0.02068168	0.00311958	0.583868	0.128018	0.284994	0.0718564	0.0718564	0.23391	0.23391	-2.633085	1.180267
58	-56438.71	-56437.72	-0.990662	0.0161512	0.0161512	0.00907864	0.00907864	-4.125758	-0.5760723	0.004735501	0.1915499	0.009100051	0.01631583	0.00334827	0.626669	0.137403	0.23258	0.084035	0.084035	0.334271	0.334271	-2.476522	1.380719
