Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	rate_12	rate_14	rate_21	rate_23	rate_32	rate_34	rate_41	rate_43	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]
26	-64112.22	-64094.34	-17.87802	0.0454673	0.0818694	0.107962	0.202857	-3.09076	-2.50263	-2.22598	-1.59525	-2.20794	-3.08685	-2.89262	-3.23191	0.1105264	0.02060048	2.141052	2.05147	1.259478	1.031018	0.7051203	0.6364075	0.281318	0.54483	0.15744	0.0164113	0.109927	0.0456457	0.0554309	0.039482
27	-62843.04	-62829.55	-13.4895	0.0819368	0.100811	0.107962	0.202857	-2.50181	-2.29451	-2.22598	-1.59525	-4.0824	-3.64671	-3.16727	-0.461432	0.02944486	0.02060048	0.6262506	0.2744096	1.259478	1.031018	0.1952327	0.6364075	0.281318	0.54483	0.15744	0.0164113	0.016867	0.0260769	0.0421185	0.630381
28	-66546.93	-66536.53	-10.39389	0.533973	0.0585561	0.0248664	0.202857	-0.627409	-2.83777	-3.69424	-1.59525	0.000651494	-3.43277	-3.16727	-3.41351	0.02944486	0.1511906	0.04752388	0.2744096	0.005483823	1.031018	0.1952327	0.6364075	0.243	0.283259	0.459565	0.0141759	1.00065	0.0322973	0.0421185	0.0329255
29	-66071.68	-66066.42	-5.259086	0.533973	0.0585561	0.271472	0.0822754	-0.627409	-2.83777	-1.3039	-2.49768	0.000651494	-1.34663	-3.16727	-2.17414	0.0005455236	0.1511906	0.09023589	0.2744096	0.03391638	0.01268028	0.1952327	0.5505563	0.243	0.283259	0.459565	0.0141759	1.00065	0.260115	0.0421185	0.113706
30	-67937.72	-67929.46	-8.259693	0.533973	0.077574	0.0671847	0.0889212	-0.627409	-2.55652	-2.70031	-2.42001	0.000651494	-1.34663	-3.16727	-0.90775	0.03089808	0.1511906	0.09023589	0.2744096	0.03391638	0.3135193	0.02218363	0.5505563	0.243	0.283259	0.459565	0.0141759	1.00065	0.260115	0.0421185	0.403431
31	-73026.65	-73008.13	-18.51558	0.060554	0.0290745	0.103618	0.0889212	-2.80422	-3.53789	-2.26704	-2.42001	-2.6944	-3.49948	-2.93525	-3.29185	0.3063469	5.544231	1.026726	0.2744096	0.03391638	0.3135193	0.9371381	0.2803233	0.243	0.283259	0.459565	0.0141759	0.0675832	0.0302131	0.0531175	0.0371851
32	-73349.41	-73335.28	-14.13046	0.0445392	0.296029	0.103618	0.0889212	-3.11139	-1.2173	-2.26704	-2.42001	-2.6944	-3.49948	-2.21409	-3.29185	0.06333307	5.544231	0.165916	0.1122319	0.0007756663	0.3135193	0.9371381	0.8025546	0.249967	0.291381	0.444069	0.0145823	0.0675832	0.0302131	0.109253	0.0371851
33	-84789.83	-84775.46	-14.37193	0.129413	0.296029	0.0806659	0.0889212	-2.04475	-1.2173	-2.51744	-2.42001	-3.16117	-0.549069	-2.93745	0.792002	0.1089366	5.544231	0.122199	0.1602832	0.0002050357	0.3135193	0.1183105	0.1454379	0.249967	0.291381	0.444069	0.0145823	0.042376	0.577487	0.0530008	2.20781
34	-70623.69	-70613.64	-10.04545	0.522407	1.32983	0.0806659	0.396279	-0.649309	0.285052	-2.51744	-0.925637	-3.16117	-2.28153	-1.8348	-3.23217	0.1089366	0.02009699	0.122199	0.4713495	0.03066936	0.3135193	0.6116993	0.1454379	0.239016	0.280973	0.466068	0.0139434	0.042376	0.102128	0.159645	0.0394719
35	-67741.6	-67721.92	-19.68123	0.163488	1.32983	0.0818617	0.0326271	-1.81102	0.285052	-2.50272	-3.42261	-2.28106	-1.63356	-3.4639	-3.23217	0.1089366	0.2537028	0.01100821	4.658111	4.288707	0.09416655	0.361585	0.0736329	0.239016	0.280973	0.466068	0.0139434	0.102176	0.195234	0.0313075	0.0394719
36	-68181.05	-68159.16	-21.89387	0.375038	1.32983	0.0573957	0.0326271	-0.980727	0.285052	-2.85779	-3.42261	-1.22361	-3.77205	-3.34206	-2.41087	0.292354	0.2537028	0.01100821	4.658111	4.288707	0.09416655	0.361585	0.1131448	0.239016	0.280973	0.466068	0.0139434	0.294168	0.0230047	0.0353639	0.0897368
37	-65604.96	-65597.23	-7.733988	0.375038	0.0826269	0.159425	0.0326271	-0.980727	-2.49342	-1.83618	-3.42261	-2.98705	-3.77205	-1.26743	-1.49653	0.07931532	0.2537028	0.7237424	0.05144408	1.246035	0.0375282	0.361585	0.0007986011	0.0685701	0.0806069	0.133708	0.717115	0.0504359	0.0230047	0.281554	0.223905
38	-69799.94	-69790.15	-9.795159	0.375038	0.0826269	0.0622047	0.0185059	-0.980727	-2.49342	-2.77733	-3.98967	-1.96271	-3.45902	-4.33292	-3.44119	0.07931532	1.035959	0.3276893	0.0751159	1.246035	0.0375282	0.361585	0.000444369	0.0592964	0.204949	0.115625	0.62013	0.140477	0.0314607	0.0131292	0.0320266
39	-68173.27	-68162.55	-10.72115	0.36446	0.0826269	0.731276	0.0542683	-1.00934	-2.49342	-0.312964	-2.91381	-1.85189	-3.45902	-2.6925	-1.52214	0.1070786	0.2822934	1.100461	0.0751159	1.246035	0.0375282	2.482411	4.48405e-05	0.342561	0.107656	0.121391	0.428391	0.156941	0.0314607	0.0677115	0.218245
40	-64289.79	-64277.87	-11.92522	0.36446	0.0168596	0.438525	0.0168126	-1.00934	-4.08283	-0.82434	-4.08563	-3.9339	-2.04836	-0.691601	-1.52214	0.02010824	0.2822934	0.04829859	0.0751159	1.478348	0.8359018	0.09848539	0.02903274	0.342561	0.107656	0.121391	0.428391	0.0195672	0.128947	0.500774	0.218245
41	-61324.28	-61306.49	-17.78999	0.0422124	0.0168596	0.280736	0.0168126	-3.16504	-4.08283	-1.27034	-4.08563	-1.49327	-2.04836	-1.19238	-2.18733	0.02010824	0.06706935	0.04829859	0.533681	1.478348	0.8359018	3.183889	0.990383	0.280525	0.117815	0.132846	0.468814	0.224637	0.128947	0.303499	0.112216
42	-66547.61	-66530.87	-16.74108	0.230418	0.0168596	0.0171286	0.0368386	-1.46786	-4.08283	-4.06701	-3.30121	0.135281	-2.28973	-0.894876	-0.774438	0.02323318	0.06706935	0.04829859	0.533681	1.478348	0.8359018	0.0442793	1.863804	0.280525	0.117815	0.132846	0.468814	1.14486	0.101293	0.408658	0.460963
43	-61315.94	-61301.93	-14.01619	0.230418	0.0646868	0.0171286	2.12081	-1.46786	-2.7382	-4.06701	0.751799	-2.08417	-1.33338	-3.72789	-1.82746	0.0002527517	0.08678588	0.005562013	0.4856913	1.478348	0.8359018	1.028648	0.8997907	0.280525	0.117815	0.132846	0.468814	0.12441	0.263585	0.0240435	0.160822
44	-66790.82	-66790.96	0.135337	0.230418	0.0646868	0.0434754	0.509468	-1.46786	-2.7382	-3.13556	-0.674389	-2.3159	-1.33338	-3.72789	-2.02015	0.0002527517	0.08678588	0.041307	0.4856913	0.01346692	0.01346882	0.03273901	0.04156473	0.280525	0.117815	0.132846	0.468814	0.0986773	0.263585	0.0240435	0.132636
45	-70127.54	-70121.81	-5.723475	0.230418	0.0646868	0.317124	0.036459	-1.46786	-2.7382	-1.14846	-3.31157	-2.24383	-4.29544	-1.34266	0.335245	0.01349962	0.3156549	0.03288637	0.4856913	0.1247407	0.01346882	0.0722244	0.002763063	0.280525	0.117815	0.132846	0.468814	0.106052	0.0136306	0.26115	1.39828
46	-68508.06	-68504.92	-3.140063	0.222248	0.166587	0.0470654	0.0441324	-1.50396	-1.79224	-3.05622	-3.12056	0.0797808	-1.68733	-3.6219	-0.839115	0.01349962	0.3156549	0.03288637	0.4856913	0.2625629	0.01346882	0.08139143	4.385457e-05	0.486096	0.228819	0.0629466	0.222139	1.08305	0.185013	0.0267319	0.432093
47	-71906.33	-71903.09	-3.238405	0.0299766	0.222251	0.0470654	0.124749	-3.50734	-1.50395	-3.05622	-2.08145	-0.0243346	-1.68733	-2.51204	-0.839115	0.01349962	0.1012866	1.196749	0.1642089	0.2625629	0.007513593	0.0445907	4.385457e-05	0.150164	0.378394	0.104094	0.367348	0.975959	0.185013	0.0811026	0.432093
48	-82516.82	-82503.42	-13.40338	0.428268	0.0243665	0.0504701	0.124749	-0.848007	-3.71455	-2.98637	-2.08145	0.930089	-2.48123	-1.59675	-2.85003	0.1142122	0.1012866	0.06151689	0.7677516	0.2625629	4.580565	0.01256617	0.0004440236	0.150164	0.378394	0.104094	0.367348	2.53473	0.08364	0.202554	0.0578427
49	-79911.96	-79899.44	-12.51945	0.428268	0.0444052	0.262432	0.0828749	-0.848007	-3.1144	-1.33776	-2.49042	0.930089	-2.48123	-1.59675	-2.85003	0.1949851	0.4485087	0.06151689	0.7677516	0.07915829	1.686693	0.01256617	0.03123725	0.342801	0.152928	0.237631	0.266641	2.53473	0.08364	0.202554	0.0578427
50	-82040.27	-82027.12	-13.14906	0.428268	0.137881	0.262432	0.329567	-0.848007	-1.98136	-1.33776	-1.10998	1.43196	-2.48123	-1.59675	-2.85003	0.1949851	0.4485087	0.00810289	0.2997285	0.3611007	1.686693	0.01256617	0.03123725	0.342801	0.152928	0.237631	0.266641	4.1869	0.08364	0.202554	0.0578427
51	-72192.99	-72188.41	-4.582724	0.428268	0.137881	0.262432	0.329567	-0.848007	-1.98136	-1.33776	-1.10998	-2.90208	-1.23361	-3.60607	-2.79499	0.2092852	0.4485087	0.00810289	0.2997285	0.0895571	0.02930822	0.0180264	0.03123725	0.342801	0.152928	0.237631	0.266641	0.0549086	0.29124	0.0271585	0.0611154
52	-70017.86	-70016.6	-1.265889	0.103149	0.137881	0.606106	0.0372995	-2.27158	-1.98136	-0.5007	-3.28877	-3.36097	-1.23361	-2.99524	-1.00932	0.05190619	0.4485087	0.0001512853	0.2997285	0.0895571	0.02930822	0.0180264	0.007777425	0.342801	0.152928	0.237631	0.266641	0.0347015	0.29124	0.0500245	0.364468
53	-63092.43	-63085.79	-6.637329	0.088964	0.171345	0.0222758	0.0372995	-2.41952	-1.76408	-3.80426	-3.28877	-0.746994	-1.23361	-2.74691	-2.74168	0.132867	0.4485087	0.0006009745	0.2770667	0.04725915	1.350537	1.110529	0.0005175513	0.342801	0.152928	0.237631	0.266641	0.473789	0.29124	0.0641257	0.0644617
54	-71050.78	-71038.79	-11.99048	0.69638	0.169923	0.0222758	0.291513	-0.36186	-1.77241	-3.80426	-1.23267	-2.06226	-2.67869	-2.74691	-3.06725	0.06767854	0.4485087	1.012221	0.2770667	0.04725915	0.1606028	1.110529	0.1385582	0.257654	0.172741	0.268418	0.301187	0.127167	0.0686529	0.0641257	0.0465491
55	-68412.79	-68395.32	-17.47141	0.198559	0.169923	0.339107	0.0253287	-1.61667	-1.77241	-1.08144	-3.67582	-1.04106	-2.67869	-2.35999	-1.26763	0.184887	0.4485087	1.012221	2.577414	0.01493564	0.1287873	1.110529	1.625101	0.281242	0.0970058	0.292992	0.32876	0.353081	0.0686529	0.0944211	0.281497
56	-79551.61	-79530.42	-21.19276	0.0165727	0.169923	0.150101	0.0238933	-4.1	-1.77241	-1.89645	-3.73416	-0.000761874	-2.0843	-0.462889	-2.94187	0.5249127	0.4485087	1.012221	2.577414	0.01493564	0.1287873	1.110529	1.625101	0.281242	0.0970058	0.292992	0.32876	0.999238	0.124394	0.629463	0.0527667
57	-65488.32	-65475.99	-12.33109	0.0213461	0.385964	0.150101	0.0706856	-3.84689	-0.952011	-1.89645	-2.64951	-2.28337	-2.5678	0.281713	-3.7206	0.08502017	0.4485087	0.5399043	0.6396825	0.01493564	0.1869824	1.110529	0.02235378	0.281242	0.0970058	0.292992	0.32876	0.10194	0.0767039	1.3254	0.0242195
58	-66556.74	-66543.1	-13.64053	0.0213461	0.385964	0.0494535	0.0706856	-3.84689	-0.952011	-3.00672	-2.64951	-2.28337	-2.5678	-3.55838	-2.33602	0.08502017	2.915825	0.5399043	0.6396825	0.0001689269	0.1388426	2.54562	0.1317604	0.194987	0.176433	0.532889	0.0956913	0.10194	0.0767039	0.028485	0.0967115
59	-78499.13	-78495.19	-3.935157	0.172229	0.129185	0.115817	0.0185842	-1.75893	-2.04651	-2.15575	-3.98544	-3.00212	-1.92528	-2.91405	-1.70786	0.007631353	0.7549588	0.5399043	0.6396825	0.0001689269	0.1388426	0.02143538	0.1317604	0.450325	0.215882	0.112793	0.221	0.0496817	0.145835	0.0542558	0.181253
60	-70472.36	-70463.57	-8.790962	0.0727311	0.129185	0.251168	0.00831679	-2.62099	-2.04651	-1.38163	-4.78948	-3.09474	-1.47459	-2.43388	-1.70786	0.3604354	0.7549588	0.5399043	0.2276353	0.00029761	0.1388426	0.06916952	0.4957391	0.450325	0.215882	0.112793	0.221	0.0452866	0.228873	0.0876962	0.181253
61	-63099.21	-63084.63	-14.57413	0.0146089	0.0194607	0.253785	0.00831679	-4.22613	-3.93936	-1.37127	-4.78948	-1.80962	-1.2379	-2.73546	-1.70786	0.3604354	0.7549588	0.5399043	0.2276353	7.662008e-05	1.626879	0.5005514	0.4957391	0.152217	0.332963	0.173964	0.340856	0.163716	0.289993	0.0648642	0.181253
62	-63241.09	-63231	-10.08855	0.35832	0.0194607	0.253785	0.0608319	-1.02633	-3.93936	-1.37127	-2.79964	-1.89565	-3.39051	-2.65669	-1.0899	0.3604354	0.1165534	0.3463463	0.06832017	0.006536434	0.5844504	1.100477	0.1583143	0.145892	0.319128	0.166736	0.368244	0.150221	0.0336916	0.0701799	0.33625
63	-63686.62	-63672.97	-13.64956	0.0690632	0.0121638	0.58798	0.289809	-2.67273	-4.40929	-0.531063	-1.23853	-1.27875	-3.48785	-2.2751	-4.16173	0.03253633	0.1165534	0.006035417	1.190431	0.4731279	0.5844504	1.100477	0.1583143	0.145892	0.319128	0.166736	0.368244	0.278385	0.0305666	0.102787	0.0155807
64	-72843.55	-72833.03	-10.51304	0.103046	0.150623	0.170375	0.0277	-2.27258	-1.89297	-1.76975	-3.58632	0.928276	-2.24437	-2.2751	-1.81051	0.03253633	0.1165534	0.04992157	0.03611425	1.472531	0.107907	1.100477	0.03287344	0.120057	0.439697	0.13721	0.303035	2.53014	0.105994	0.102787	0.163571
65	-65411.26	-65401.12	-10.13895	0.0277588	0.150623	0.0190759	0.130601	-3.5842	-1.89297	-3.95933	-2.03561	-2.91383	-1.50632	-2.2751	-1.81051	1.041114	0.04739951	0.4239534	1.04537	0.08017189	0.107907	1.100477	0.002406376	0.120057	0.439697	0.13721	0.303035	0.0542673	0.221724	0.102787	0.163571
