Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
67	-56402.5	-56397.13	-5.368074	0.0420207	0.0171608	0.02021	0.00825357	-3.16959	-4.06513	-0.731982	1.16769	0.004767137	0.13423	0.005416512	0.0214829	0.139242	0.192202	0.0689434	0.599613	0.0662466	0.0733175	0.234649	0.259694	-2.71437	-2.61296	1.2647	0.541097
68	-56509.28	-56505.72	-3.559491	0.0420207	0.0312033	0.0703917	0.0522708	-3.16959	-3.46723	0.515914	0.214992	0.01133227	0.1425091	0.005416512	0.01116728	0.163681	0.225936	0.467141	0.143241	0.0819061	0.0813444	0.290115	0.288125	-2.50218	-2.50906	1.2647	0.541097
69	-56466.23	-56461.85	-4.372238	0.0345723	0.0340753	0.0579144	0.0570818	-3.3647	-3.37918	0.515914	-0.537151	0.00755457	0.1362885	0.005416512	0.03571242	0.302798	0.417965	0.134369	0.144869	0.0695656	0.0813444	0.246404	0.288125	-2.66549	-2.50906	1.2647	0.541097
70	-56474.57	-56467.56	-7.010653	0.0317312	0.00564126	0.0476286	0.00846755	-3.45045	-5.17765	0.406133	-0.537151	0.002254716	0.1493108	0.005416512	0.03571242	0.302798	0.417965	0.134369	0.144869	0.0600437	0.0768666	0.212678	0.272265	-2.81268	-2.56568	1.2647	0.541097
71	-56475.7	-56471.31	-4.391647	0.0495783	0.0199513	0.0459485	0.0184907	-3.0042	-3.91446	-0.0760311	-0.537151	0.01282767	0.1605105	0.009971999	0.01234597	0.0424438	0.455846	0.146547	0.355164	0.0739416	0.0768666	0.283828	0.295056	-2.60448	-2.56568	1.34509	0.541097
72	-56522.33	-56516.74	-5.593097	0.104808	0.0199513	0.0971352	0.0184907	-2.25562	-3.91446	-0.0760311	1.58507	0.01825425	0.2108753	0.009971999	0.02200995	0.183948	0.388482	0.124891	0.302679	0.0933197	0.0744845	0.333711	0.266357	-2.37172	-2.59716	1.27425	0.541097
73	-56556.68	-56551.81	-4.873113	0.104808	0.0199513	0.0971352	0.0184907	-2.25562	-3.91446	-0.0760311	0.816436	0.02307569	0.2694798	0.009971999	0.03031507	0.253951	0.129854	0.0818076	0.534387	0.0933197	0.100198	0.333711	0.358308	-2.37172	-2.30061	1.27425	0.541097
74	-56519.9	-56514.55	-5.351294	0.0813828	0.0199513	0.0416158	0.0102023	-2.50859	-3.91446	-0.670684	0.816436	7.628709e-05	0.2704601	0.009971999	0.03898349	0.168208	0.0860102	0.391825	0.353957	0.0933197	0.0876073	0.378607	0.355431	-2.37172	-2.43489	1.40047	0.541097
75	-56506.87	-56502.14	-4.722825	0.106644	0.0284955	0.0375077	0.0100221	-2.23826	-3.55801	-1.04495	-0.155379	0.0002754392	0.2495326	0.005907503	0.03898349	0.201385	0.157695	0.469109	0.17181	0.0933197	0.0876073	0.392854	0.368806	-2.37172	-2.43489	1.43741	0.541097
76	-56500.56	-56495.59	-4.974459	0.106644	0.0149865	0.0368912	0.00518426	-2.23826	-4.2006	-1.06152	-0.155379	0.001135037	0.2731253	0.003147023	0.03898349	0.571453	0.099021	0.221642	0.107884	0.104763	0.107811	0.361548	0.372067	-2.25605	-2.22738	1.2387	0.541097
77	-56483.59	-56474.76	-8.821736	0.0696709	0.0125854	0.0224115	0.00404842	-2.66397	-4.37522	-1.13421	1.82781	0.001429491	0.2060327	0.00685266	0.0257215	0.579744	0.100458	0.253522	0.066276	0.0986106	0.107811	0.340316	0.372067	-2.31658	-2.22738	1.2387	2.25485
78	-56450.45	-56441.62	-8.828869	0.0170159	0.0408802	0.00547361	0.0131502	-4.07361	-3.19711	-1.13421	1.82781	0.003160749	0.2424925	0.01219444	0.01941497	0.162965	0.302833	0.504843	0.0293599	0.0929752	0.0899172	0.320867	0.310314	-2.37542	-2.40887	1.2387	2.25485
79	-56518.76	-56512.45	-6.317611	0.0170159	0.0123631	0.0441758	0.0320966	-4.07361	-4.39304	0.954031	0.286006	0.007298327	0.2111133	0.01219444	0.01951508	0.178244	0.331225	0.458419	0.0321126	0.110179	0.0899172	0.345355	0.281846	-2.20565	-2.40887	1.14247	0.39626
80	-56461.54	-56456.47	-5.074856	0.0255918	0.0515281	0.0359113	0.072306	-3.66548	-2.96563	0.338781	-1.46773	0.01110312	0.1653254	0.01219444	0.0206928	0.414504	0.235996	0.32662	0.02288	0.085033	0.103654	0.266537	0.324904	-2.46472	-2.2667	1.14247	0.39626
81	-56511.51	-56506.26	-5.244021	0.0255918	0.0512322	0.0359113	0.0718909	-3.66548	-2.97139	0.338781	-1.46773	0.01110312	0.2040271	0.01219444	0.03386622	0.322476	0.405619	0.254104	0.0178002	0.086867	0.103654	0.307358	0.366755	-2.44338	-2.2667	1.26364	0.145497
82	-56513.04	-56507.68	-5.352428	0.0569386	0.0343837	0.0388492	0.02346	-2.86578	-3.37017	-0.382286	-1.72602	0.001102581	0.2176311	0.01219444	0.03386622	0.179786	0.123307	0.141667	0.55524	0.0844078	0.118994	0.288576	0.406822	-2.47209	-2.12868	1.2293	0.145497
83	-56563.79	-56557.65	-6.1392	0.0801293	0.0343837	0.0546722	0.02346	-2.52411	-3.37017	-0.382286	-1.72602	0.02530445	0.207343	0.004027191	0.02799356	0.268043	0.183838	0.211212	0.336906	0.0859467	0.106544	0.297122	0.368329	-2.45403	-2.23919	1.24042	1.67702
84	-56515.49	-56510.36	-5.130299	0.0801293	0.0343837	0.0719826	0.0308879	-2.52411	-3.37017	-0.107217	-1.72602	0.002327152	0.207343	0.002124112	0.02799356	0.29247	0.200591	0.23046	0.27648	0.0859467	0.106544	0.347374	0.430624	-2.45403	-2.23919	1.39667	0.923921
