Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]	speciation_beta[2]
32	-55983.91	-55977.86	-6.055856	0.011845	0.0330342	0.00517683	0.0144374	-4.43585	-3.41021	-0.827717	-0.710695	0.01460796	0.07799937	0.009193807	0.05277369	0.195904	0.287459	0.411064	0.105573	0.0643805	0.0633584	0.17875	0.175912	-2.74294	-2.75895	1.02117	0.386486
33	-56054.27	-56045.75	-8.526926	0.0188893	0.0330342	0.00825551	0.0144374	-3.96916	-3.41021	-0.827717	-0.453249	0.01460796	0.1533065	0.007416929	0.01535987	0.146427	0.397366	0.310269	0.145939	0.0643805	0.0633584	0.17875	0.175912	-2.74294	-2.75895	1.02117	4.33415
34	-55900.81	-55895.9	-4.9052	0.0163329	0.0330342	0.00713821	0.0144374	-4.11458	-3.41021	-0.827717	-0.453249	0.0005390926	0.0905848	0.007416929	0.02517676	0.12357	0.335338	0.290855	0.250238	0.0748331	0.0633584	0.199022	0.168505	-2.59249	-2.75895	0.978156	0.431834
35	-55902.8	-55894.11	-8.690342	0.0238071	0.018561	0.00541447	0.00422134	-3.73777	-3.98669	-1.48091	-0.453249	0.001573822	0.1823412	0.002867835	0.0282588	0.139947	0.382033	0.192937	0.285083	0.0787022	0.0633584	0.245862	0.197929	-2.54208	-2.75895	1.1391	3.49927
36	-55933.06	-55925.43	-7.63643	0.0727049	0.0191143	0.0269304	0.00708008	-2.62135	-3.95732	-0.993154	-0.453249	0.01255989	0.1580691	0.005855514	0.0282588	0.059423	0.162215	0.589573	0.188789	0.0787022	0.0841679	0.245862	0.262937	-2.54208	-2.47494	1.1391	3.49927
37	-55843.39	-55836.12	-7.272462	0.0158941	0.0191143	0.00588728	0.00708008	-4.14181	-3.95732	-0.993154	-1.25684	0.002125539	0.1059166	0.005855514	0.0282588	0.321464	0.158396	0.335797	0.184344	0.0659112	0.0610367	0.242823	0.224865	-2.71945	-2.79628	1.30402	1.05506
38	-55844.09	-55836.96	-7.132558	0.0158941	0.0363367	0.0136127	0.0311209	-4.14181	-3.31493	-0.154948	1.86699	0.004548674	0.1489409	0.005402853	0.02179382	0.321464	0.158396	0.335797	0.184344	0.0659112	0.0610367	0.277907	0.257355	-2.71945	-2.79628	1.43898	1.05506
39	-55905.73	-55898.31	-7.420033	0.0158941	0.0618324	0.0136127	0.0529569	-4.14181	-2.78333	-0.154948	1.9968	0.01027659	0.111699	0.007210184	0.04769431	0.152408	0.60099	0.159203	0.0873987	0.0659112	0.0610367	0.224715	0.208096	-2.71945	-2.79628	1.22652	1.05506
40	-55959.93	-55951.81	-8.116291	0.0370995	0.00799897	0.0161906	0.00349084	-3.29415	-4.82844	-0.829172	1.24124	0.0001022249	0.08910681	0.01242056	0.04769431	0.152408	0.60099	0.159203	0.0873987	0.0662612	0.0610367	0.225249	0.207489	-2.71415	-2.79628	1.2236	1.05506
41	-55913.4	-55903.05	-10.35705	0.00888379	0.00799897	0.00387698	0.00349084	-4.72353	-4.82844	-0.829172	1.75677	0.0004924162	0.1168592	0.00836222	0.04769431	0.130836	0.659764	0.135186	0.0742139	0.0741095	0.0414407	0.251929	0.140874	-2.60221	-3.18349	1.2236	0.780553
42	-55916.45	-55912.49	-3.951275	0.0652984	0.0557844	0.0284969	0.0243449	-2.72879	-2.88626	-0.829172	0.178285	0.01403768	0.1564564	0.003262561	0.04769431	0.129202	0.651528	0.145982	0.0732875	0.0725119	0.0764425	0.246498	0.25986	-2.624	-2.57122	1.2236	0.780553
43	-55916.59	-55912.55	-4.035985	0.0768435	0.0808719	0.0501293	0.0527572	-2.56598	-2.51489	-0.427165	0.751875	0.0002208034	0.1795474	0.003262561	0.04769431	0.124394	0.664497	0.140549	0.0705599	0.0725119	0.063784	0.288914	0.254139	-2.624	-2.75225	1.38238	0.780553
44	-55950.14	-55943.95	-6.188621	0.0118882	0.0808719	0.0126487	0.0860452	-4.43221	-2.51489	0.0620062	0.751875	0.02454036	0.2175387	0.006131068	0.04769431	0.129071	0.689483	0.145834	0.0356115	0.0725119	0.0675412	0.313485	0.291996	-2.624	-2.69502	1.464	0.975602
45	-55900.08	-55894.35	-5.733113	0.0286402	0.0457449	0.00733836	0.011721	-3.55294	-3.08468	-1.3617	0.751875	0.006980419	0.1924012	0.009571246	0.01875143	0.200165	0.280655	0.414709	0.104471	0.0819963	0.0805631	0.308078	0.302693	-2.50108	-2.51871	1.32368	0.975602
46	-55885.08	-55880.08	-5.005958	0.0160864	0.0457449	0.00477292	0.0135728	-4.12978	-3.08468	-1.21501	-0.218952	0.006980419	0.1964857	0.008330096	0.01611926	0.186723	0.383293	0.386859	0.0431248	0.0687026	0.0805631	0.258131	0.302693	-2.67797	-2.51871	1.32368	0.167634
47	-55880.83	-55876.54	-4.285339	0.0354549	0.0689467	0.00869795	0.0169143	-3.33949	-2.67442	-1.40517	-0.218952	0.003591592	0.1747292	0.006557325	0.01611926	0.318128	0.3731	0.235299	0.0734736	0.0687026	0.0858854	0.258131	0.32269	-2.67797	-2.45474	1.32368	0.333476
48	-55917.17	-55912.59	-4.577652	0.0354549	0.0526807	0.0159317	0.0236722	-3.33949	-2.94351	-0.799947	-0.717161	0.004737672	0.1702693	0.006557325	0.0115219	0.331111	0.388326	0.244902	0.0356614	0.0602371	0.0745197	0.24282	0.300394	-2.80947	-2.59669	1.39403	1.00636
49	-55946.97	-55941.31	-5.654261	0.0115638	0.0581246	0.00519622	0.0261184	-4.45988	-2.84517	-0.799947	0.645916	0.006243605	0.09722896	0.003255472	0.01332739	0.331111	0.388326	0.244902	0.0356614	0.0576772	0.040573	0.222426	0.156465	-2.85289	-3.20465	1.34973	1.00636
50	-55982.43	-55977.77	-4.662946	0.0298337	0.0449338	0.0134058	0.0201911	-3.51212	-3.10256	-0.799947	-0.805688	0.006243605	0.07805505	0.003255472	0.01332739	0.292382	0.361797	0.312595	0.0332252	0.0485174	0.060054	0.197795	0.244828	-3.02583	-2.81251	1.40531	1.00636
51	-55918.58	-55913.23	-5.351016	0.0280214	0.0449338	0.035835	0.0574633	-3.57479	-3.10256	0.245957	-0.805688	0.009885312	0.1272894	0.005006586	0.03214339	0.358129	0.218287	0.382887	0.0406964	0.0459039	0.0565882	0.215428	0.26557	-3.08121	-2.87196	1.54608	1.00636
52	-55944.74	-55939.41	-5.325316	0.0138796	0.0917262	0.0144755	0.0956644	-4.27733	-2.38895	0.0420389	-0.800133	0.009885312	0.1051634	0.005006586	0.04686007	0.21648	0.131949	0.231446	0.420125	0.0463966	0.0527855	0.207433	0.235997	-3.07053	-2.94152	1.49758	0.2606
53	-55915.77	-55908.29	-7.477199	0.0185569	0.0209546	0.0445235	0.0502762	-3.98691	-3.8654	0.875175	-0.644198	0.02186194	0.09732843	0.005262195	0.04686007	0.110858	0.233846	0.317557	0.33774	0.0510476	0.0527855	0.228227	0.235997	-2.975	-2.94152	1.49758	1.67593
54	-55927.09	-55920.06	-7.033468	0.0299942	0.0209546	0.071965	0.0502762	-3.50675	-3.8654	0.875175	-0.41285	0.01917328	0.1257802	0.006654079	0.04686007	0.126633	0.267123	0.161508	0.444737	0.0616351	0.0527855	0.307492	0.263342	-2.78652	-2.94152	1.60722	1.67593
55	-55864.22	-55856.71	-7.50907	0.0192163	0.0230064	0.0461057	0.0551991	-3.95199	-3.77198	0.875175	0.90604	0.005928528	0.1430377	0.006654079	0.04686007	0.143007	0.172356	0.182392	0.502244	0.064815	0.0544116	0.270491	0.227075	-2.73622	-2.91118	1.4287	1.67593
56	-55857.36	-55850.56	-6.80127	0.0192163	0.0230064	0.0461057	0.0551991	-3.95199	-3.77198	0.875175	0.573635	0.005928528	0.1393126	0.006853092	0.04686007	0.0949655	0.114455	0.598931	0.191649	0.0695744	0.0730482	0.290354	0.304851	-2.66536	-2.61664	1.4287	1.31856
57	-55857	-55848.8	-8.205102	0.0242163	0.0230064	0.058102	0.0551991	-3.72073	-3.77198	0.875175	-1.60154	0.003819086	0.1534214	0.006853092	0.04686007	0.0949655	0.114455	0.598931	0.191649	0.0695744	0.0636835	0.290963	0.266327	-2.66536	-2.75383	1.4308	1.8085
58	-55919.58	-55911.81	-7.77181	0.0242163	0.0230064	0.0587821	0.0558452	-3.72073	-3.77198	0.886813	-1.38589	0.03254854	0.2175968	0.004035732	0.04686007	0.0949655	0.114455	0.598931	0.191649	0.0707621	0.0691226	0.320926	0.31349	-2.64843	-2.67187	1.51189	1.8085
59	-56026.15	-56019.66	-6.489107	0.0126469	0.0230064	0.0306989	0.0558452	-4.37034	-3.77198	0.886813	-1.23503	0.05835139	0.3899605	0.004035732	0.01587759	0.0363565	0.0438178	0.779598	0.140228	0.0663573	0.0699645	0.331067	0.349064	-2.7127	-2.65977	1.60727	0.173402
