Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	log_extinction[1]	log_extinction[2]	log_speciation[1]	log_speciation[2]	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]
82	-56449.66	-56445.5	-4.157388	0.0120968	0.0130177	-4.41482	-4.34145	-2.18377	-2.03581	0.005094188	0.02627195	0.0494562	0.950544	0.112616	0.130575
83	-56429.38	-56423.85	-5.533396	0.00423232	0.0237086	-5.465	-3.74192	-2.18545	-2.05612	0.0066226	0.02627195	0.0494562	0.950544	0.112427	0.127949
84	-56444.72	-56441	-3.722453	0.00926232	0.0516635	-4.6818	-2.963	-2.14349	-2.01432	0.0066226	0.04836951	0.0494562	0.950544	0.117245	0.133411
85	-56396.13	-56391.64	-4.491207	0.00538199	0.0516635	-5.2247	-2.963	-2.02451	-2.01432	0.0066226	0.02824782	0.0494562	0.950544	0.132059	0.133411
86	-56401.4	-56398.1	-3.298101	0.00964053	0.0628342	-4.64178	-2.76726	-2.06265	-1.8542	0.005287145	0.03212991	0.0287816	0.971218	0.127116	0.156577
87	-56403.97	-56399.48	-4.489971	0.00484639	0.0628342	-5.32952	-2.76726	-2.09422	-1.8542	0.005287145	0.02494629	0.0287816	0.971218	0.123166	0.156577
88	-56415.86	-56411.22	-4.646467	0.00484639	0.0607485	-5.32952	-2.80101	-1.97999	-2.01282	0.005287145	0.03412559	0.0287816	0.971218	0.138071	0.133612
89	-56410	-56404.71	-5.293121	0.00484639	0.0239439	-5.32952	-3.73204	-1.96189	-2.01282	0.005287145	0.03412559	0.0287816	0.971218	0.140593	0.133612
90	-56405.02	-56399.27	-5.745536	0.0133551	0.00543608	-4.31585	-5.2147	-1.94883	-2.197	0.005287145	0.03412559	0.0287816	0.971218	0.14244	0.111136
91	-56421.88	-56416.47	-5.41138	0.0130544	0.00627386	-4.33863	-5.07136	-1.94883	-2.3703	0.005287145	0.02993222	0.348734	0.651266	0.14244	0.093453
92	-56405.33	-56398.77	-6.556115	0.0130544	0.0042293	-4.33863	-5.46572	-2.06627	-2.10675	0.005287145	0.05334271	0.579892	0.420108	0.126657	0.121632
93	-56394.36	-56390.35	-4.010323	0.0145235	0.0125342	-4.23199	-4.37929	-2.01479	-2.10675	0.005395139	0.02729318	0.501915	0.498085	0.133348	0.121632
94	-56391.81	-56387.82	-3.987696	0.0120588	0.015831	-4.41796	-4.14578	-2.01479	-2.09467	0.005395139	0.02911724	0.501915	0.498085	0.133348	0.123111
95	-56392.02	-56387.75	-4.265689	0.0120588	0.0126842	-4.41796	-4.3674	-2.01479	-2.09467	0.005045664	0.02911724	0.501915	0.498085	0.133348	0.123111
96	-56393.56	-56388.76	-4.808623	0.00876177	0.0124139	-4.73736	-4.38894	-2.08209	-2.09467	0.005045664	0.02911724	0.866967	0.133033	0.124669	0.123111
97	-56395.68	-56390.94	-4.741691	0.00876177	0.0124139	-4.73736	-4.38894	-2.08209	-2.10915	0.004438617	0.02911724	0.866967	0.133033	0.124669	0.121341
98	-56399.38	-56394.7	-4.679807	0.00876177	0.0124139	-4.73736	-4.38894	-2.00694	-2.16695	0.003869353	0.02911724	0.693595	0.306405	0.1344	0.114527
99	-56394.61	-56390.92	-3.691166	0.0102032	0.0260045	-4.58505	-3.64949	-2.07327	-2.03051	0.005478001	0.02911724	0.563924	0.436076	0.125774	0.131268
100	-56407.22	-56402.64	-4.586283	0.00614372	0.0260045	-5.09232	-3.64949	-2.10235	-1.9701	0.006775989	0.02191896	0.891352	0.108648	0.122169	0.139442
101	-56409.35	-56405.84	-3.515115	0.00740095	0.0525775	-4.90615	-2.94547	-2.03538	-1.91339	0.003944064	0.02359471	0.891352	0.108648	0.13063	0.147579
102	-56434.08	-56431.54	-2.536985	0.0138592	0.0849674	-4.27881	-2.46549	-2.09149	-1.71692	0.003944064	0.03033002	0.891352	0.108648	0.123503	0.179619
103	-56420.67	-56417.85	-2.821863	0.0138592	0.0687895	-4.27881	-2.6767	-2.05701	-1.71692	0.006390807	0.03009351	0.891352	0.108648	0.127835	0.179619
104	-56427.24	-56424.25	-2.985691	0.0126677	0.0687895	-4.3687	-2.6767	-2.05701	-1.71692	0.004743619	0.04239421	0.891352	0.108648	0.127835	0.179619
105	-56418.18	-56414.83	-3.353261	0.0102051	0.0687895	-4.58487	-2.6767	-2.063	-1.79311	0.005351659	0.04239421	0.84801	0.15199	0.127072	0.166442
106	-56419.38	-56416.65	-2.726653	0.015381	0.0687895	-4.17462	-2.6767	-2.05587	-1.83181	0.005351659	0.04239421	0.529775	0.470225	0.127981	0.160124
107	-56417.68	-56414.74	-2.942127	0.017017	0.0393414	-4.07354	-3.23548	-2.06809	-1.86041	0.006524225	0.04239421	0.400806	0.599194	0.126428	0.155609
108	-56401.09	-56395.04	-6.052654	0.00289118	0.0437956	-5.84609	-3.12822	-2.06809	-1.86041	0.006524225	0.02813242	0.149195	0.850805	0.126428	0.155609
109	-56404.73	-56400.61	-4.124218	0.00700549	0.0437956	-4.96106	-3.12822	-2.09189	-1.86041	0.006524225	0.03129294	0.149195	0.850805	0.123453	0.155609
110	-56411.33	-56408.51	-2.820794	0.0120994	0.0538432	-4.4146	-2.92168	-2.09189	-1.97631	0.005333579	0.02482385	0.149195	0.850805	0.123453	0.138579
111	-56411.39	-56408.34	-3.0496	0.0120994	0.0538432	-4.4146	-2.92168	-1.96556	-1.86023	0.005333579	0.03418202	0.624809	0.375191	0.140078	0.155636
112	-56421.19	-56417.93	-3.268887	0.0120994	0.0538432	-4.4146	-2.92168	-1.96556	-1.86023	0.008207675	0.03423896	0.624809	0.375191	0.140078	0.155636
113	-56423.95	-56421.76	-2.19149	0.0217545	0.0538432	-3.82793	-2.92168	-1.96556	-1.92083	0.008207675	0.01970342	0.273691	0.726309	0.140078	0.146485
114	-56411	-56408.64	-2.360324	0.0162239	0.0538432	-4.12127	-2.92168	-2.0061	-1.96563	0.0061444	0.01912672	0.83466	0.16534	0.134512	0.140067
115	-56410.04	-56406.65	-3.384913	0.0162239	0.0161077	-4.12127	-4.12846	-2.0061	-2.1459	0.0061444	0.01912672	0.879706	0.120294	0.134512	0.116963
116	-56411.72	-56408.46	-3.263992	0.0172517	0.0161077	-4.05984	-4.12846	-1.99494	-2.17271	0.005661512	0.01912672	0.879706	0.120294	0.136022	0.113868
117	-56414.2	-56412.11	-2.090331	0.0235988	0.0386733	-3.74656	-3.25261	-1.99789	-2.04478	0.005661512	0.02072375	0.879706	0.120294	0.135621	0.129409
118	-56411.17	-56405.68	-5.493816	0.0235988	0.00425204	-3.74656	-5.46036	-1.95673	-2.04046	0.005661512	0.02638181	0.653879	0.346121	0.14132	0.129969
119	-56418.83	-56412.42	-6.412028	0.00656283	0.00684447	-5.02633	-4.98431	-1.95673	-2.04046	0.005661512	0.02638181	0.452237	0.547763	0.14132	0.129969
120	-56401.91	-56396.77	-5.140088	0.00432793	0.0521368	-5.44267	-2.95388	-2.05851	-1.94631	0.008196796	0.03153877	0.452237	0.547763	0.127644	0.1428
121	-56405.39	-56402.94	-2.447231	0.016813	0.0521368	-4.0856	-2.95388	-2.03766	-1.87322	0.004444376	0.03153877	0.12302	0.87698	0.130333	0.153628
