state	power	likelihood
700	0.000104858	-59654.1
800	0.000104858	-63575.3
900	0.000104858	-77576.9
1000	0.000104858	-62354.4
300	5.37824e-05	-64400.5
400	5.37824e-05	-58435.3
500	5.37824e-05	-66751.1
600	5.37824e-05	-59790.3
700	5.37824e-05	-58229.2
800	5.37824e-05	-60076
900	5.37824e-05	-66790.2
1000	5.37824e-05	-58769
300	2.48832e-05	-58123.7
400	2.48832e-05	-57437.8
500	2.48832e-05	-63559.9
600	2.48832e-05	-61350.5
700	2.48832e-05	-58245.4
800	2.48832e-05	-58885.3
900	2.48832e-05	-61678.5
1000	2.48832e-05	-70659.1
300	1e-05	-78368.3
400	1e-05	-57970.4
500	1e-05	-65234
600	1e-05	-60277.3
700	1e-05	-57344.8
800	1e-05	-74402.6
900	1e-05	-59900.5
1000	1e-05	-58779.3
300	3.2768e-06	-65484
400	3.2768e-06	-62437.5
500	3.2768e-06	-61126.4
600	3.2768e-06	-63145.2
700	3.2768e-06	-72871.1
800	3.2768e-06	-80787.6
900	3.2768e-06	-60707.1
1000	3.2768e-06	-57879.7
300	7.776e-07	-97241.3
400	7.776e-07	-61488.3
500	7.776e-07	-69694.7
600	7.776e-07	-65703
700	7.776e-07	-65273.3
800	7.776e-07	-61235.7
900	7.776e-07	-70964.9
1000	7.776e-07	-63195
300	1.024e-07	-86331.6
400	1.024e-07	-82299.6
500	1.024e-07	-80241.9
600	1.024e-07	-57456.2
700	1.024e-07	-59646
800	1.024e-07	-70559.6
900	1.024e-07	-59655.6
1000	1.024e-07	-71006.1
300	3.2e-09	-58948.8
400	3.2e-09	-60784.8
500	3.2e-09	-62103.1
600	3.2e-09	-63043.6
700	3.2e-09	-76288.9
800	3.2e-09	-67372.7
900	3.2e-09	-59835.6
1000	3.2e-09	-57724.2
300	1.16658e-302	-64380.6
400	1.16658e-302	-76642.5
500	1.16658e-302	-68166.6
600	1.16658e-302	-62123.8
700	1.16658e-302	-57910.5
800	1.16658e-302	-59525.9
900	1.16658e-302	-65261.1
1000	1.16658e-302	-94027.7
